epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,92.1168,2.3288,4.94718,2.28167,0.04094,0.07143,0.02888,0.01326,2.02337,5.962,2.25392,5.001e-05,5.001e-05,5.001e-05
2,177.162,1.71899,3.89411,1.82284,0.7125,0.21429,0.24954,0.17388,1.34254,4.25719,1.62298,0.000113802,0.000113802,0.000113802
3,260.938,1.24492,2.96165,1.37775,0.20931,0.59124,0.31791,0.17106,1.14698,8.66319,1.48978,0.000174293,0.000174293,0.000174293
4,341.519,1.2555,2.37666,1.37326,0.50298,0.39707,0.45251,0.32725,1.1452,3.67844,1.23128,0.000231484,0.000231484,0.000231484
5,424.853,1.17214,1.86921,1.20188,0.44505,0.48214,0.492,0.29785,1.31716,3.55472,1.36396,0.000285374,0.000285374,0.000285374
6,507.156,1.05742,1.70361,1.16718,0.42025,0.625,0.51196,0.251,1.41538,3.75962,1.53481,0.000335963,0.000335963,0.000335963
7,589.235,1.0513,1.55175,1.12961,0.56561,0.45922,0.49632,0.34395,1.20742,3.49928,1.23991,0.000383252,0.000383252,0.000383252
8,669.693,1.09217,1.38333,1.14233,0.58511,0.48214,0.48062,0.28355,1.2345,3.09693,1.3457,0.00042724,0.00042724,0.00042724
9,749.253,1.11544,1.35458,1.18002,0.33641,0.55357,0.38395,0.21467,1.2557,3.88606,1.44223,0.000467927,0.000467927,0.000467927
10,830.717,1.16847,1.28887,1.19313,0.41518,0.75478,0.51237,0.26592,1.55596,3.43281,1.89931,0.000505314,0.000505314,0.000505314
11,909.367,1.06717,1.23488,1.1831,0.73157,0.66159,0.59953,0.27003,1.51393,3.27809,1.71363,0.0005394,0.0005394,0.0005394
12,988.663,1.36302,1.3277,1.3191,0.67541,0.625,0.606,0.30012,1.70757,2.88637,1.99545,0.000570185,0.000570185,0.000570185
13,1070.47,1.15988,1.21265,1.21381,0.73994,0.73214,0.7128,0.36693,1.68224,2.78762,1.9527,0.00059767,0.00059767,0.00059767
14,1150.91,1.05399,1.01178,1.16476,0.89855,0.52126,0.68414,0.31405,1.72989,2.84447,1.94057,0.000621854,0.000621854,0.000621854
15,1231.07,1.05943,1.14168,1.19699,0.52232,0.74694,0.6046,0.38975,1.58681,2.91348,1.62894,0.000642737,0.000642737,0.000642737
16,1311.76,1.09438,1.02277,1.17527,0.80214,0.53772,0.58399,0.37427,1.51658,2.74736,1.65409,0.00066032,0.00066032,0.00066032
17,1392.93,1.01569,1.12407,1.174,0.91984,0.61274,0.67704,0.42728,1.4991,2.40512,1.59753,0.000674602,0.000674602,0.000674602
18,1473.69,1.06919,1.16665,1.21021,0.73144,0.67857,0.69422,0.37837,1.49134,2.50645,1.783,0.000685583,0.000685583,0.000685583
19,1554.57,1.00581,0.93493,1.14792,0.63746,0.60714,0.70079,0.42711,1.45753,2.84322,1.94046,0.000693264,0.000693264,0.000693264
20,1633.42,1.03384,1.00882,1.22624,0.54446,0.53571,0.64188,0.36837,1.53459,2.5125,2.06984,0.000697644,0.000697644,0.000697644
21,1717.96,1.02298,0.99573,1.17297,0.69623,0.57556,0.60116,0.33667,1.63613,2.47741,1.79739,0.000698723,0.000698723,0.000698723
22,1796.23,1.02584,0.9697,1.1979,0.91414,0.54093,0.62202,0.41045,1.36322,2.27592,1.68698,0.000696502,0.000696502,0.000696502
23,1876.33,0.97241,0.85742,1.09742,0.9762,0.55552,0.64942,0.39271,1.27281,1.91383,1.84129,0.00069098,0.00069098,0.00069098
24,1956.93,0.92663,0.84268,1.1486,0.92582,0.56652,0.73867,0.48269,1.33474,1.53825,1.91641,0.000682157,0.000682157,0.000682157
